epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.154,3.31111,3.5982,3.01909,1.2028,0.22793,0.21758,0.14155,0.05184,0.21392,0.23651,0.14929,0.05158,3.25748,3.37508,2.90668,1.1361,0.000552832,0.000552832,0.000552832
2,295.306,3.11261,3.14303,2.35764,1.12649,0.28146,0.22157,0.18278,0.07957,0.29392,0.24827,0.19523,0.08131,3.085,3.24485,2.0552,1.09701,0.000998757,0.000998757,0.000998757
3,434.191,3.04889,3.03257,2.17803,1.11894,0.37909,0.2119,0.18653,0.07671,0.22055,0.29693,0.19592,0.07682,2.94954,3.09085,2.05129,1.12837,0.00133466,0.00133466,0.00133466
4,573.923,3.00152,3.00815,2.07531,1.10356,0.30371,0.21369,0.17554,0.08146,0.32561,0.22968,0.18939,0.07854,3.01385,3.22673,1.95775,1.11777,0.0011719,0.0011719,0.0011719
5,712.351,2.9374,2.90203,1.97202,1.08705,0.35362,0.29038,0.26549,0.11397,0.31901,0.30226,0.26831,0.10966,2.8625,2.89519,1.82766,1.06628,0.00100687,0.00100687,0.00100687
6,851.345,2.90054,2.84901,1.9203,1.07858,0.14051,0.31599,0.08013,0.02984,0.1423,0.33243,0.09136,0.03721,2.86427,2.91316,1.91444,1.07317,0.000841835,0.000841835,0.000841835
7,990.626,2.83074,2.7603,1.8911,1.07671,0.35698,0.33647,0.30383,0.13078,0.27944,0.34122,0.28441,0.12029,2.80141,2.90467,1.78511,1.06623,0.000676802,0.000676802,0.000676802
8,1128.87,2.81277,2.74056,1.8511,1.06433,0.39929,0.31027,0.29735,0.13358,0.39351,0.33316,0.30668,0.13123,2.74448,2.8202,1.79666,1.06933,0.000511769,0.000511769,0.000511769
9,1268.1,2.78791,2.72694,1.8263,1.05485,0.32158,0.36463,0.30753,0.13901,0.30939,0.36401,0.31176,0.1311,2.75615,2.8557,1.73847,1.053,0.000346736,0.000346736,0.000346736
10,1406.16,2.76296,2.68024,1.77985,1.05104,0.38144,0.36184,0.33521,0.15964,0.36671,0.36102,0.3394,0.15101,2.71274,2.75954,1.70597,1.05059,0.000181703,0.000181703,0.000181703
