epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.631,3.32836,3.60232,2.83419,1.18215,0.20147,0.26702,0.14621,0.05613,0.17848,0.28836,0.15071,0.05825,3.1049,3.25965,2.23714,1.11954,0.000554246,0.000554246,0.000554246
2,512.832,3.14479,3.18039,2.23984,1.12152,0.22637,0.24433,0.15087,0.05652,0.2371,0.26935,0.16005,0.05787,3.02113,3.20494,2.03264,1.12744,0.00110442,0.00110442,0.00110442
3,765.821,3.10405,3.09355,2.10363,1.11144,0.51494,0.1921,0.21097,0.0814,0.4884,0.18155,0.20652,0.07742,2.94217,3.08023,1.96894,1.1122,0.00164909,0.00164909,0.00164909
4,1010.72,3.06247,3.06488,2.034,1.10155,0.25438,0.31857,0.22068,0.09564,0.22926,0.32426,0.2245,0.09438,2.94431,3.03977,1.96855,1.08676,0.00164225,0.00164225,0.00164225
5,1262.66,3.03506,3.0284,1.96643,1.0909,0.34802,0.28874,0.252,0.10236,0.28959,0.27356,0.23401,0.09135,2.93741,3.03649,1.89257,1.0796,0.00163399,0.00163399,0.00163399
6,1511.64,3.00352,2.94817,1.9636,1.0888,0.37823,0.26086,0.25307,0.11252,0.35281,0.26358,0.25467,0.10663,2.83325,2.91716,1.81621,1.07663,0.00162574,0.00162574,0.00162574
7,1757.89,2.97138,2.95029,1.93139,1.08694,0.30246,0.31218,0.26027,0.11009,0.27794,0.33006,0.26387,0.11077,2.85152,2.92071,1.83337,1.08479,0.00161749,0.00161749,0.00161749
8,2004.13,2.9368,2.91616,1.89318,1.0739,0.61404,0.23666,0.26177,0.11165,0.55242,0.22377,0.2638,0.10651,2.82261,2.92653,1.83493,1.08314,0.00160924,0.00160924,0.00160924
9,2251.11,2.93511,2.89431,1.9106,1.07509,0.57947,0.22047,0.26958,0.121,0.60629,0.214,0.27171,0.11552,2.84612,2.926,2.0022,1.06332,0.00160099,0.00160099,0.00160099
10,2509.55,2.91139,2.87911,1.86896,1.07032,0.333,0.30446,0.27067,0.1157,0.3178,0.29548,0.27111,0.10879,2.79662,2.87345,1.78048,1.05159,0.00159274,0.00159274,0.00159274
11,2773.38,2.85401,2.80769,1.83153,1.06596,0.33008,0.34297,0.29442,0.13435,0.32034,0.33017,0.28383,0.12825,2.75116,2.79552,1.74889,1.04817,0.00158448,0.00158448,0.00158448
12,3025.43,2.86183,2.81041,1.80908,1.05708,0.29391,0.3454,0.23332,0.11118,0.28899,0.36084,0.24447,0.11075,2.74408,2.79032,1.85988,1.06922,0.00157623,0.00157623,0.00157623
13,3279.1,2.84925,2.78193,1.79448,1.05466,0.33311,0.36002,0.31121,0.1464,0.29759,0.36099,0.31045,0.14116,2.71223,2.83349,1.77441,1.05418,0.00156798,0.00156798,0.00156798
14,3527.35,2.83836,2.77904,1.7936,1.04935,0.34463,0.30769,0.26194,0.12431,0.33442,0.31604,0.25435,0.11736,2.69002,2.77356,1.75027,1.0426,0.00155973,0.00155973,0.00155973
15,3777.36,2.8266,2.75046,1.79399,1.04575,0.35709,0.36941,0.33301,0.15487,0.33155,0.35036,0.32294,0.14646,2.67384,2.74444,1.71446,1.03814,0.00155148,0.00155148,0.00155148
16,4031.5,2.82871,2.80034,1.7885,1.05323,0.35343,0.32171,0.26896,0.1044,0.30028,0.31293,0.24153,0.09168,2.68368,2.77828,1.72288,1.04014,0.00154323,0.00154323,0.00154323
17,4281.99,2.8081,2.72151,1.77289,1.04844,0.41197,0.35919,0.33656,0.15774,0.37241,0.35325,0.3258,0.15181,2.68002,2.74022,1.72843,1.03209,0.00153497,0.00153497,0.00153497
18,4531.66,2.79881,2.75312,1.76203,1.05142,0.39758,0.33663,0.31281,0.14762,0.40728,0.32432,0.31559,0.14637,2.66997,2.73065,1.71715,1.0422,0.00152672,0.00152672,0.00152672
19,4781.16,2.77973,2.69672,1.76717,1.04204,0.39403,0.36201,0.31803,0.14718,0.35754,0.35423,0.30808,0.13163,2.6186,2.70421,1.68304,1.02873,0.00151847,0.00151847,0.00151847
20,5030.34,2.78892,2.7379,1.74878,1.04579,0.32937,0.38956,0.31987,0.1493,0.31044,0.37469,0.31559,0.13643,2.63706,2.70033,1.71438,1.03786,0.00151022,0.00151022,0.00151022
21,5280.1,2.78076,2.69686,1.74377,1.0335,0.3422,0.37217,0.30948,0.14865,0.32438,0.37536,0.31306,0.14556,2.66607,2.72367,1.70262,1.04075,0.00150197,0.00150197,0.00150197
22,5527.36,2.74457,2.67699,1.74622,1.03748,0.40131,0.35802,0.33507,0.15168,0.34269,0.33065,0.30556,0.13289,2.63003,2.6812,1.71549,1.03161,0.00149372,0.00149372,0.00149372
23,5772.36,2.77695,2.73244,1.7552,1.03383,0.37417,0.35619,0.32317,0.15093,0.34913,0.3394,0.30688,0.13743,2.58467,2.70479,1.68231,1.03541,0.00148546,0.00148546,0.00148546
24,6017.94,2.75385,2.68201,1.74051,1.03587,0.37483,0.36749,0.31478,0.13779,0.32485,0.3682,0.30282,0.12752,2.6141,2.69657,1.67614,1.04453,0.00147721,0.00147721,0.00147721
25,6270.29,2.75381,2.6964,1.73586,1.03841,0.33493,0.36518,0.31171,0.14882,0.3083,0.33108,0.28219,0.12761,2.62847,2.6831,1.69769,1.02466,0.00146896,0.00146896,0.00146896
26,6520.97,2.74373,2.65585,1.73994,1.03878,0.41152,0.36636,0.3353,0.16032,0.3721,0.36225,0.32245,0.14846,2.5776,2.66372,1.66067,1.02105,0.00146071,0.00146071,0.00146071
27,6768.11,2.69744,2.61575,1.70362,1.02796,0.40086,0.36438,0.32502,0.1497,0.37298,0.35044,0.3126,0.13536,2.56349,2.66635,1.69549,1.0302,0.00145246,0.00145246,0.00145246
